# Name of Moon, Name of Planet, Diameter (km)
S/2003 J 2,Jupiter,1.0
S/2003 J 4,Jupiter,1.0
S/2003 J 9,Jupiter,0.5
S/2003 J 10,Jupiter,1.0
S/2003 J 12,Jupiter,0.5
S/2003 J 16,Jupiter,1.0
S/2003 J 23,Jupiter,1.0
Mimas,Saturn,198.2
Enceladus,Saturn,252.3
Tethys,Saturn,536.3
Dione,Saturn,562.5
Rhea,Saturn,764.5
Titan,Saturn,2575.5
Hyperion,Saturn,138.6
Iapetus,Saturn,734.5
Phoebe,Saturn,106.6
Janus,Saturn,90.4
Epimetheus,Saturn,58.3
Helene,Saturn,16.0
Telesto,Saturn,12.0
Calypso,Saturn,9.5
Atlas,Saturn,15.3
Prometheus,Saturn,46.8
Pandora,Saturn,40.6
Pan,Saturn,12.8
Ymir,Saturn,9.0
Paaliaq,Saturn,11.0
Tarvos,Saturn,7.5
Ijiraq,Saturn,6.0
Suttungr,Saturn,3.5
Kiviuq,Saturn,8.0
Mundilfari,Saturn,3.5
Albiorix,Saturn,16.0
Skathi,Saturn,4.0
Erriapus,Saturn,5.0
Siarnaq,Saturn,20.0
Thrymr,Saturn,3.5
Narvi,Saturn,3.5
Methone,Saturn,1.6
Pallene,Saturn,2.0
Polydeuces,Saturn,1.25
Daphnis,Saturn,3.8
Aegir,Saturn,3.0
Bebhionn,Saturn,3.0
Bergelmir,Saturn,3.0
Bestla,Saturn,3.5
Farbauti,Saturn,2.5
Fenrir,Saturn,2.0
Fornjot,Saturn,3.0
Hati,Saturn,3.0
Hyrrokkin,Saturn,4.0
Kari,Saturn,3.5
Loge,Saturn,3.0
Skoll,Saturn,3.0
Surtur,Saturn,3.0
Anthe,Saturn,1.0
Jarnsaxa,Saturn,3.0
Greip,Saturn,3.0
Tarqeq,Saturn,3.5
Aegaeon,Saturn,0.33
S/2004 S 7,Saturn,3.0
S/2004 S 12,Saturn,2.5
S/2004 S 13,Saturn,3.0
S/2004 S 17,Saturn,2.0
S/2006 S 1,Saturn,3.0
S/2006 S 3,Saturn,3.0
S/2007 S 2,Saturn,3.0
S/2007 S 3,Saturn,3.0
S/2009 S 1,Saturn,0.15
S/2004 S 20,Saturn,3.0
S/2004 S 21,Saturn,3.0
S/2004 S 22,Saturn,3.0
S/2004 S 23,Saturn,4.0
S/2004 S 24,Saturn,3.0
S/2004 S 25,Saturn,4.0
S/2004 S 26,Saturn,4.0
S/2004 S 27,Saturn,6.0
S/2004 S 28,Saturn,4.0
S/2004 S 29,Saturn,4.0
S/2004 S 30,Saturn,3.0
S/2004 S 31,Saturn,4.0
S/2004 S 32,Saturn,4.0
S/2004 S 33,Saturn,4.0
S/2004 S 34,Saturn,3.0
S/2004 S 35,Saturn,6.0
S/2004 S 36,Saturn,3.0
S/2004 S 37,Saturn,4.0
S/2004 S 38,Saturn,4.0
S/2004 S 39,Saturn,3.0
Ariel,Uranus,578.9
Umbriel,Uranus,584.7
Titania,Uranus,788.9
Oberon,Uranus,761.4
Miranda,Uranus,235.8
Cordelia,Uranus,20.1
Ophelia,Uranus,21.4
Bianca,Uranus,25.7
Cressida,Uranus,39.8
Desdemona,Uranus,32.0
Juliet,Uranus,46.8
Portia,Uranus,67.6
Rosalind,Uranus,36.0
Belinda,Uranus,40.3
Puck,Uranus,81.0
Caliban,Uranus,21.0
Sycorax,Uranus,78.5
Prospero,Uranus,25.0
Setebos,Uranus,24.0
Stephano,Uranus,10.0
Trinculo,Uranus,9.0
Francisco,Uranus,6.0
Margaret,Uranus,5.5
Ferdinand,Uranus,6.0
Perdita,Uranus,15.0
Mab,Uranus,6.0
Cupid,Uranus,9.0
Triton,Neptune,1353.4
Nereid,Neptune,178.5
Naiad,Neptune,33.0
Thalassa,Neptune,41.0
Despina,Neptune,75.0
Galatea,Neptune,88.0
Larissa,Neptune,97.0
Proteus,Neptune,210.0
Halimede,Neptune,31.0
Psamathe,Neptune,20.0
Sao,Neptune,22.0
Laomedeia,Neptune,21.0
Neso,Neptune,30.0
Hippocamp,Neptune,17.4
Charon,Pluto,606.0
Nix,Pluto,23.0
Hydra,Pluto,30.5
Kerberos,Pluto,14.0
Styx,Pluto,10.0
