# mangaid,objra,objdec,redshift
71,258.19022,36.278854,0.11739953
72,257.42743,36.41495,0.027901001
73,257.63065,35.506737,0.073855825
74,255.89528,36.401535,0.0234776
75,256.77567,35.639977,0.031490386
76,256.36966,35.634666,0.036577426
77,257.5943,36.339603,0.026807703
78,257.44943,36.537247,0.036251396
79,256.5658,35.417156,0.03687572
80,256.79196,34.26975,0.031326324
81,258.2711,35.268616,0.025924757
82,256.6735,35.869583,0.028158717
83,258.22043,35.09316,0.025610738
84,256.9445,35.134136,0.036895804
85,258.10358,35.445515,0.02584467
86,256.95712,34.43981,0.036184832
87,257.83365,32.87433,0.037570916
88,259.0554,34.055412,0.03802211
89,258.14722,34.69247,0.025700735
90,258.15237,32.875633,0.02370417
91,256.39893,34.746418,0.039465558
92,258.99197,33.643494,0.038431313
93,257.53384,33.598904,0.11024909
94,256.9926,34.81854,0.037210133
95,256.66403,34.543003,0.030480215
96,258.6086,33.42069,0.038676754
97,257.3837,34.427032,0.02423373
98,257.5742,34.24076,0.08520944
99,257.25183,34.904797,0.035949647
100,258.19727,34.087414,0.08532557
101,258.49585,33.607136,0.038810924
102,258.00415,34.96116,0.08662647
103,257.13882,31.805643,0.031660814
104,257.5329,32.294167,0.029928107
105,259.2283,31.527548,0.025005993
106,259.0443,31.792309,0.023145312
107,258.6502,30.733534,0.02987031
108,258.3861,33.153038,0.10966666
109,257.56793,32.240112,0.036734436
110,257.08575,31.746916,0.108459726
111,258.28934,31.582043,0.029882537
112,259.18353,32.806267,0.04084387
113,258.80786,31.389471,0.023921454
114,258.7989,31.128223,0.02270131
115,258.89243,31.52951,0.023103213
116,258.22623,32.78658,0.038264614
117,259.2174,31.584131,0.023641014
118,259.20645,31.755753,0.023892326
119,259.24692,32.245888,0.11098484
120,258.65942,28.120764,0.022923337
121,259.19443,26.4813,0.048509695
122,261.21732,28.078297,0.048131604
123,260.8831,27.45871,0.022555456
124,259.083,26.85016,0.048299253
125,261.0147,27.544483,0.028223453
126,259.43265,26.076122,0.040897425
127,259.67383,27.941061,0.047415923
128,259.06375,28.014006,0.107544795
129,260.13345,28.100851,0.082730435
130,260.0179,25.936392,0.041852728
131,260.4645,27.26468,0.10485544
132,259.54718,26.94113,0.04374543
133,259.79333,28.358124,0.09595729
134,260.7547,27.569473,0.047894496
135,259.16864,27.976511,0.1056886
136,260.18314,28.708197,0.04746072
137,314.6097,0.18089,0.023903288
138,315.2236,-0.38763514,0.07979178
139,317.44666,0.36139983,0.0476612
140,316.55853,0.09779855,0.05090321
141,315.16516,-0.2102957,0.02429944
142,316.64902,-0.3399381,0.06751346
143,317.4226,0.6277694,0.02443518
144,316.21402,0.63226026,0.04829871
145,315.01672,0.19838525,0.05154503
146,317.44656,0.26606333,0.050624512
147,316.2517,-0.93328375,0.017826224
148,316.59036,-0.77123463,0.048950333
149,316.53293,-0.79903686,0.03496017
150,315.47495,-0.30468506,0.049317636
151,317.04016,-0.25080562,0.0950965
152,316.97476,0.87587124,0.058049873
153,317.3149,0.52346927,0.050922584
154,322.94946,-1.03917,0.0518211
155,322.9288,0.35783523,0.030129356
156,324.092,0.9477269,0.10385876
157,324.2599,0.42824042,0.051287126
158,323.40756,1.0709267,0.086375386
159,322.45193,-0.3135547,0.03019012
160,323.03387,0.6097743,0.0499975
161,322.21332,-1.0701182,0.05240857
162,322.67264,1.0059344,0.03603896
163,323.6247,0.46601436,0.11906128
164,322.60788,-0.47452074,0.020146837
165,323.76184,-0.17083508,0.051156282
166,323.17862,0.7713492,0.11993224
167,323.68015,0.38550064,0.12113858
168,323.6031,-0.6032272,0.08617383
169,322.37073,-0.219591,0.05018279
170,323.75162,-0.51144433,0.030453531
171,316.4909,9.155321,0.044086754
172,316.63965,10.751223,0.028448742
173,317.9435,9.277494,0.03954219
174,315.9324,10.887574,0.043696072
175,316.13177,9.905484,0.10755723
176,316.54156,10.34542,0.017535357
177,315.5031,10.376951,0.062640235
178,317.82294,10.482589,0.0591985
179,316.8413,11.066421,0.04293904
180,316.70947,9.197369,0.04407345
181,316.72852,10.806784,0.030043436
182,315.8313,10.944169,0.04346298
183,316.88226,10.977209,0.0425544
184,316.04364,8.995115,0.10246243
185,317.43005,11.355241,0.017213374
186,323.4664,10.071853,0.08818559
187,323.5212,10.421856,0.07749156
188,324.09497,12.236304,0.029187335
189,324.58643,11.348673,0.08971866
190,324.8959,11.204963,0.04058402
191,323.65768,11.42181,0.022677725
192,324.2597,11.906203,0.022493273
193,324.15253,10.506733,0.04050473
194,323.29633,10.644204,0.08853312
195,325.16135,11.722743,0.09054602
196,324.83365,10.540767,0.07690658
197,323.4706,10.439735,0.07824292
198,323.5771,11.214324,0.03451307
199,324.79932,11.939322,0.08008188
200,324.89157,10.48348,0.07919918
201,323.74274,11.296529,0.063900165
202,324.54868,12.194258,0.02238592
203,332.60208,11.713078,0.091944605
204,332.2386,11.877606,0.120997086
205,333.20184,13.334121,0.07437999
206,332.41827,13.635809,0.027702594
207,332.89285,11.795929,0.027236486
208,330.85538,12.675899,0.026374768
209,332.48132,12.81805,0.036124904
210,332.20346,13.3647375,0.027692659
211,331.08093,12.968378,0.027719606
212,333.05203,12.205191,0.027817411
213,332.79874,11.800733,0.027244592
214,333.15073,11.750891,0.09118923
215,332.75635,12.374303,0.061702125
216,331.80264,13.266052,0.03513706
217,333.48535,12.806486,0.06863589
218,331.1229,12.442626,0.026561614
219,332.83066,12.184717,0.06330506
220,263.15015,56.845257,0.03001122
221,261.27856,56.87834,0.028669138
222,263.63516,58.230133,0.011645608
223,262.48605,58.397408,0.027092066
224,264.68033,57.23921,0.029769404
225,264.4556,57.110706,0.030373085
226,264.5225,57.118164,0.030318217
227,260.6164,57.164055,0.030746663
228,262.10004,57.002098,0.029852696
229,262.09933,57.545414,0.02900897
230,262.07492,56.77478,0.029345227
231,261.0395,56.87446,0.027367271
232,261.46603,56.85205,0.02705787
233,261.28485,58.764687,0.02955369
234,261.6076,58.588856,0.026449176
235,259.7555,57.173496,0.028270952
236,260.96304,58.32173,0.029417882
237,257.75223,56.93534,0.028679162
238,258.84695,57.43288,0.032359052
239,258.96005,57.366753,0.030535316
240,261.32104,56.951878,0.02528742
241,261.1156,56.29601,0.11354009
242,258.02762,57.50401,0.028403597
243,259.87457,55.432957,0.0728826
244,258.15875,57.322422,0.026923927
245,258.53027,57.477432,0.027212895
246,260.2282,57.097958,0.027854118
247,257.58224,56.75725,0.033118986
248,261.08182,56.87628,0.02767421
249,257.83383,56.991253,0.03135483
250,258.82742,57.65877,0.028555501
251,259.1747,56.92779,0.028565338
252,260.347,55.876526,0.14009298
253,252.93835,62.464348,0.06795555
254,253.42738,62.42,0.06179569
255,254.5742,64.705505,0.01629628
256,254.7173,63.17953,0.09921681
257,254.39542,62.872482,0.1054656
258,255.10954,63.72802,0.016659563
259,257.24792,62.898018,0.027341217
260,252.17075,63.4792,0.04405545
261,253.31305,64.47628,0.0544113
262,255.71649,62.6044,0.05666557
263,252.47449,62.841965,0.03696364
264,253.40556,63.03127,0.10552926
265,253.88908,63.24212,0.022732345
266,252.61893,64.02067,0.092601426
267,255.2795,64.67688,0.02738009
268,253.0069,64.120834,0.019369055
269,254.54208,62.41565,0.11921752
270,40.486374,-1.0305923,0.044393785
271,40.969048,0.15264626,0.027621951
272,41.840485,-0.46249056,0.07533678
273,41.280567,0.950165,0.024792433
274,41.69464,-0.7288269,0.044155896
275,41.378956,0.9206384,0.024779627
276,41.685753,0.36953625,0.044123966
277,41.49319,-0.44918108,0.02920935
278,41.846367,0.058756698,0.025074009
279,41.762646,-0.64795405,0.04523359
280,42.198444,-0.1091849,0.024953589
281,41.69991,0.4215771,0.028559571
282,40.556866,0.38294908,0.022219773
283,39.446587,0.40508515,0.047642466
284,42.032784,-0.75231594,0.046014007
285,41.643112,-0.8435374,0.043225907
286,42.142437,-0.5498741,0.02478076
287,40.880466,0.3068215,0.026976893
288,41.514046,0.22455853,0.03577393
289,42.570267,0.09199015,0.028317345
290,42.156776,-0.5542926,0.04387402
291,42.27915,-0.90221,0.025201147
292,41.360928,0.91013277,0.025272552
293,42.216927,-0.52405316,0.024909422
294,42.41665,-0.63690585,0.024658088
295,42.092335,0.98646545,0.027692653
296,42.387432,-0.78444254,0.023924686
297,42.228004,-0.96678764,0.023352187
298,42.318077,-0.77410895,0.13794015
299,42.53276,-0.2669605,0.02939954
300,42.416542,-0.069850735,0.028593447
301,42.73943,0.3694083,0.04449122
302,42.39743,-0.7236762,0.022099122
303,42.542126,-0.867116,0.02348592
304,47.11882,0.38756353,0.043040767
305,47.999416,-1.1616613,0.027134709
306,49.4878,-0.16910058,0.023067152
307,49.333458,-0.07655111,0.02243017
308,47.889084,-0.74293995,0.02845987
309,47.985157,-0.0325629,0.037919383
310,47.78526,-1.054341,0.0385962
311,47.528362,-0.46803376,0.037013073
312,49.228867,-0.042007007,0.023379613
313,49.088406,0.47947603,0.029443912
314,49.457455,-0.55465853,0.021362707
315,47.787487,0.23518094,0.026580073
316,48.01039,-0.078473404,0.03792157
317,47.4356,0.8793806,0.06883867
318,49.58418,-0.8246579,0.036922794
319,47.34003,-0.4079444,0.045094553
320,49.24928,-0.9012007,0.054139845
321,48.196617,-1.0228544,0.081807174
322,47.758705,-0.18227784,0.036051143
323,50.39137,-0.17836772,0.025583312
324,49.406364,0.81519747,0.02428722
325,50.19091,-0.85163,0.02176089
326,47.914894,0.78172857,0.026950823
327,47.956253,-0.0030868365,0.03721964
328,48.573334,-0.6096963,0.11568058
329,49.946854,0.6238222,0.024977453
330,50.07384,0.5236322,0.024407925
331,49.82144,-0.9696313,0.05400365
332,49.973763,-1.1458995,0.040525362
333,49.940136,-0.07718924,0.03718921
334,48.065475,0.24045156,0.038290177
335,49.483635,1.0453496,0.03706476
336,47.772182,-0.5465378,0.028459735
337,49.84569,0.82346964,0.03406929
338,48.896458,-1.0162861,0.02702592
339,48.438416,-0.24146006,0.02643
340,49.51165,-0.5389613,0.02137875
341,49.949562,-0.2211454,0.1321437
342,50.930878,-0.118430585,0.055138867
343,48.313183,-0.09390932,0.028868139
344,50.160645,-1.0350186,0.021265496
345,50.171375,-1.1761045,0.021466188
346,49.10855,0.32164273,0.021495117
347,50.18888,-1.0539448,0.021122212
348,50.8886,-0.43853563,0.024159677
349,50.14516,-1.0958961,0.021606155
350,49.945915,0.58458,0.024468895
351,49.782173,0.955959,0.024156585
352,50.771996,0.35429868,0.05259625
353,48.642723,0.53237486,0.021205518
354,50.179935,-1.0022918,0.036520015
355,50.5014,-0.8071052,0.036175843
356,50.245415,-0.367683,0.021039868
357,49.92934,0.56547785,0.024659017
358,50.696785,0.14936614,0.023146268
359,50.178986,-1.1086535,0.021181267
360,49.76767,0.93749696,0.03787564
361,51.256462,-0.19294831,0.03688819
362,50.19979,0.18560441,0.03788291
363,49.973225,0.39144218,0.024119169
364,50.8271,0.9398919,0.036789604
365,51.284737,-0.54494804,0.037695166
366,50.50408,-1.05393,0.026765643
367,51.115005,-0.086335205,0.03680804
368,50.94016,0.007433157,0.036338896
369,51.609463,-0.31170595,0.037795164
370,50.138412,-0.33995986,0.038470156
371,50.05245,-0.5406767,0.037671678
372,50.536137,-0.83626485,0.036755487
373,51.169918,-0.6814726,0.039430615
374,50.683025,-0.1795731,0.03800678
375,51.027115,-1.057859,0.025445927
376,51.1634,-0.17896087,0.036285043
377,52.622585,-0.48876902,0.021965792
378,51.133,-1.2561156,0.021230873
379,50.636642,-0.0012126936,0.022060545
380,51.36963,0.2785301,0.02298596
381,51.581264,-0.91264874,0.037448622
382,51.69425,-0.64816976,0.020757448
383,50.970776,-0.5540824,0.041019473
384,50.741676,0.054137398,0.0359273
385,51.327175,-0.1564678,0.053883687
386,50.713524,0.13967228,0.023061385
387,51.8784,-1.1277831,0.026146425
388,51.409943,-1.030121,0.029794928
389,51.094433,0.11389269,0.021839272
390,52.13829,1.0067425,0.05018209
391,52.619896,0.81149715,0.031078532
392,52.847584,0.36493075,0.04044501
393,51.72068,-0.70317185,0.037716795
394,53.43367,-0.52728456,0.032963224
395,50.970352,-0.4425325,0.03707393
396,51.22896,0.6059565,0.10362198
397,51.580666,-0.6313243,0.037524763
398,51.155518,-0.44401756,0.037066773
399,50.922337,-0.117034145,0.051801544
400,51.385815,-0.5396615,0.03760782
401,51.680008,-0.76946044,0.0391344
402,51.708916,0.19858883,0.020651111
403,51.317772,-0.4090392,0.038002126
404,51.41289,0.24211578,0.05155792
405,57.13007,-0.92053026,0.040550694
406,55.55398,-0.35424602,0.025606578
407,56.927185,0.030441605,0.040730637
408,56.131645,0.006646652,0.10863894
409,57.24304,-1.1448314,0.04093655
410,57.112656,-0.78872967,0.040599503
411,57.52699,-0.21730798,0.015276035
412,57.120213,-0.6844027,0.0478535
413,57.025352,0.20884436,0.025687356
414,57.114655,0.67160755,0.025509926
415,57.17361,-0.65100026,0.040403564
416,57.490417,0.07433297,0.13193472
417,57.10141,0.9949842,0.03906685
418,57.458687,-0.8456668,0.03640573
419,57.242985,-0.52112013,0.040034767
420,57.248383,0.9259771,0.036136016
421,111.10794,38.945213,0.01746753
422,112.36026,40.16919,0.0736657
423,111.67569,41.22346,0.043248583
424,112.46775,39.8915,0.049755182
425,112.55991,39.53346,0.14175284
426,112.55775,40.88567,0.07277244
427,112.60368,39.896847,0.11821358
428,111.874794,38.699635,0.08099414
429,111.516525,40.557953,0.05052521
430,112.169426,41.473022,0.11948325
431,111.97529,40.09199,0.1212154
432,111.09076,39.019024,0.052152593
433,112.07073,40.084106,0.049891002
434,112.670685,40.19179,0.12040677
435,112.4167,41.072315,0.10130649
436,112.573555,39.942074,0.05032549
437,112.22136,41.30781,0.0585559
438,110.5172,42.42138,0.13611975
439,110.88851,41.434906,0.027915727
440,113.26688,42.47246,0.116391346
441,111.4993,42.01668,0.06066827
442,111.93686,42.101513,0.056935888
443,110.86586,43.051636,0.10757402
444,110.45061,42.28631,0.07017219
445,112.64484,42.32906,0.119968705
446,110.55615,42.183643,0.04463882
447,111.60287,43.04856,0.025605466
448,113.25521,42.42512,0.027379328
449,111.73368,41.02669,0.1297677
450,111.13815,41.950615,0.026810788
451,111.03734,42.919315,0.1227482
452,112.42834,41.901215,0.08735064
453,111.938065,42.180676,0.023311818
454,112.00344,41.91877,0.05863788
455,114.96186,44.804344,0.042676423
456,114.77575,44.402767,0.13448489
457,113.747215,43.47252,0.13124987
458,112.855934,45.309483,0.079360954
459,114.94188,44.759052,0.043241292
460,112.079254,43.30212,0.043939553
461,112.6546,45.212185,0.069063835
462,113.08644,43.600773,0.057293482
463,112.51477,43.379185,0.026989004
464,113.35531,44.186478,0.055902652
465,113.302864,44.10672,0.06025645
466,113.28497,44.55097,0.13139968
467,113.59316,43.89128,0.06797959
468,111.823845,43.784878,0.05669732
469,112.721756,43.500744,0.1439197
470,112.69868,46.010117,0.021432713
471,114.455925,46.397663,0.032437067
472,114.473656,47.95722,0.021296015
473,114.73363,47.47378,0.0813384
474,114.67302,45.943653,0.018170815
475,113.400185,45.94338,0.07683517
476,114.06017,47.33968,0.06247604
477,113.32661,46.348194,0.12829866
478,114.3097,46.937504,0.14811015
479,115.03494,46.172306,0.05367698
480,115.23806,45.292202,0.04377365
481,116.577194,46.81758,0.07587161
482,114.92451,45.91261,0.03230273
483,114.76759,48.129086,0.036583602
484,116.28665,47.55237,0.021470744
485,114.39402,47.46396,0.12787105
486,116.280205,46.072422,0.031601667
487,113.472275,37.025906,0.062094618
488,112.933556,38.336563,0.052907556
489,113.55388,39.076836,0.051226113
490,114.75306,38.127743,0.094656885
491,115.44314,37.615536,0.026699625
492,112.66266,38.447586,0.03784407
493,114.09638,39.43828,0.11586794
494,114.002144,39.23354,0.09581932
495,114.08479,39.87999,0.04171703
496,115.56505,39.33457,0.07162723
497,114.89737,37.751507,0.030665966
498,115.24227,39.379322,0.011033072
499,114.872635,37.820507,0.08714955
500,113.057014,39.560074,0.049120236
501,112.910995,39.400536,0.051194016
502,112.979706,39.140133,0.08735734
503,113.61009,38.629013,0.04618873
504,115.16694,42.453953,0.03840715
505,115.01778,43.00091,0.050201453
506,116.16926,44.14441,0.038598295
507,116.33574,43.90177,0.046254255
508,116.47535,43.51939,0.04127293
509,114.18628,42.44371,0.02353445
510,117.09381,43.780495,0.031792294
511,116.703575,43.37484,0.04185747
512,115.36872,44.408794,0.13252921
513,116.85491,43.91862,0.032065015
514,115.64161,44.21586,0.04204558
515,115.252785,43.326126,0.08466605
516,115.30203,42.749382,0.03609139
517,116.78261,43.314075,0.042046346
518,116.96757,43.3835,0.11176844
519,115.632324,43.935524,0.11922698
520,117.03863,43.590702,0.03143084
521,115.63344,44.233818,0.045095112
522,115.31625,44.916027,0.05037118
523,116.38969,45.772327,0.031954683
524,116.657135,44.790516,0.03116528
525,116.91312,44.46279,0.053461093
526,116.76397,46.53448,0.027756814
527,118.32531,44.866013,0.04973904
528,116.09792,44.52774,0.050022464
529,117.95015,46.051983,0.053959176
530,118.02049,44.16146,0.026596306
531,115.964005,44.72433,0.03135261
532,117.14434,44.688286,0.020630948
533,117.31815,46.20504,0.038458966
534,117.29142,46.461884,0.038436506
535,117.30259,45.510273,0.053469677
536,118.328545,45.462025,0.06354521
537,115.479935,31.411535,0.015943209
538,113.50057,32.215763,0.027109569
539,114.04749,32.51515,0.01400398
540,115.04293,32.20644,0.013724101
541,116.43123,32.10292,0.02746867
542,114.88232,33.679348,0.055144753
543,114.636986,31.178087,0.040964354
544,114.18115,31.476494,0.0799619
545,114.758705,33.916046,0.013272606
546,116.08278,32.810596,0.04418284
547,115.12864,32.44073,0.07689102
548,115.00596,32.194584,0.02804382
549,115.36266,32.77932,0.064693496
550,114.19016,33.122753,0.016490908
551,116.37411,32.293762,0.061148282
552,114.50066,31.249279,0.019447427
553,114.756035,31.91471,0.040811427
554,116.93032,41.38638,0.028937124
555,117.90319,41.46044,0.04185785
556,117.89847,42.880116,0.03228474
557,117.92377,42.303574,0.02423992
558,118.986145,40.553978,0.04371779
559,116.72921,41.444897,0.028984942
560,117.76603,41.973457,0.0409462
561,116.17686,42.357693,0.039245706
562,117.412476,42.967075,0.031053534
563,116.57616,41.701653,0.028469853
564,116.78572,40.39294,0.076760314
565,116.75322,41.526093,0.028220698
566,117.818565,40.95209,0.040680517
567,116.78716,42.078716,0.028501153
568,117.70586,40.94632,0.04176617
569,116.50722,40.875057,0.03844759
570,116.74261,42.32097,0.07938367
571,116.73264,44.265697,0.03158702
572,117.23982,43.78659,0.03171036
573,120.36009,44.193623,0.031669393
574,118.798294,44.38217,0.04848871
575,118.86385,44.02933,0.047935124
576,117.47242,45.24848,0.03152955
577,118.71334,43.182636,0.033287864
578,118.39369,44.09543,0.03190427
579,117.24119,44.986057,0.024104252
580,117.47145,44.873154,0.049341597
581,119.05715,44.386124,0.04775043
582,119.16593,44.10101,0.04620666
583,118.64899,44.151814,0.03164573
584,117.303665,44.065037,0.030790854
585,120.44053,44.11005,0.13208665
586,117.41841,44.896015,0.0503948
587,119.61155,44.046223,0.050609607
588,119.26901,40.995148,0.075185984
589,118.9067,42.751244,0.045115918
590,120.90851,43.343052,0.015540944
591,119.560036,42.26867,0.03202914
592,121.48998,41.148117,0.040990938
593,118.660225,42.544113,0.032088853
594,119.64331,41.578407,0.04169011
595,119.58345,41.568058,0.041547216
596,119.83486,42.05707,0.024853341
597,120.63984,42.392704,0.041523132
598,120.38464,42.002296,0.031907685
599,121.0142,40.802612,0.12623292
600,118.946945,41.280373,0.041284263
601,120.11665,41.66065,0.043836948
602,119.82253,42.008537,0.043864574
603,119.40124,41.114586,0.041778725
604,119.92996,42.19978,0.044373546
605,114.83597,27.36062,0.026987901
606,114.16249,28.526768,0.051504463
607,114.77505,29.160074,0.039182466
608,114.177124,29.30491,0.089289404
609,115.30987,27.614046,0.027396217
610,113.678444,30.018896,0.027128497
611,114.457954,28.652891,0.016000846
612,115.31559,29.13465,0.039531853
613,114.69539,29.891283,0.09810402
614,115.65039,28.261477,0.016143512
615,115.16325,27.611177,0.046163496
616,115.07567,28.46421,0.022447182
617,114.63553,29.18552,0.039620966
618,113.04871,28.895432,0.062067326
619,115.048386,28.39464,0.08102109
620,114.61023,28.963078,0.016011704
621,115.36563,29.669178,0.023833709
622,117.01332,28.028269,0.027386483
623,115.9636,28.357784,0.10658976
624,117.06579,28.715397,0.023123344
625,116.23935,28.927504,0.023745531
626,117.00966,28.404999,0.015988745
627,116.9936,28.324806,0.023813013
628,117.04574,28.230274,0.027356649
629,117.10474,27.575249,0.0158222
630,116.37953,28.44101,0.01602029
631,117.32529,28.473488,0.016308853
632,117.57035,27.856993,0.027788522
633,116.68564,26.741,0.024087144
634,116.55353,26.923002,0.016004255
635,116.50304,28.699635,0.023857674
636,116.51168,28.87807,0.039976023
637,117.1086,27.298044,0.026679544
638,116.66048,26.470217,0.015534916
639,117.27419,28.61938,0.028121429
640,116.83569,29.412933,0.06280303
641,116.60509,30.440493,0.05562469
642,117.48113,29.420208,0.06308941
643,118.053215,28.77258,0.06394369
644,117.05386,28.225092,0.027306926
645,117.199455,28.239742,0.028039766
646,117.116,28.892662,0.026199453
647,116.11043,29.269396,0.03983185
648,118.47006,29.19699,0.06346346
649,117.47538,29.468138,0.061066758
650,117.58447,27.842957,0.027944643
651,118.1857,28.783005,0.075944655
652,116.526085,29.210861,0.023170508
653,118.307045,28.828299,0.1432042
654,116.27746,28.75752,0.02427751
655,117.81157,28.153631,0.052635714
656,116.75957,26.776487,0.023816202
657,117.87004,27.202143,0.09532899
658,118.59263,27.008804,0.026915768
659,118.67516,26.64273,0.01601685
660,117.98211,27.30297,0.026606992
661,116.21391,26.579039,0.024053223
662,117.177505,26.539764,0.015762027
663,117.860435,26.991842,0.023279382
664,116.59948,27.338211,0.01619418
665,119.28998,26.648603,0.022262907
666,118.32397,27.460737,0.027137388
667,116.62089,26.718117,0.015522706
668,118.627846,25.815987,0.06338075
669,119.0395,26.875776,0.061740335
670,118.38368,27.742882,0.02173144
671,117.43493,27.853752,0.028061427
672,118.85282,26.98635,0.015594133
673,120.26996,26.802437,0.042316053
674,119.60927,27.161547,0.04730464
675,119.06649,28.14822,0.04654454
676,119.31439,27.496016,0.026873488
677,120.92675,26.455444,0.047383834
678,120.221695,28.130394,0.01737611
679,119.92389,27.003502,0.022343883
680,119.79267,26.086672,0.020634014
681,119.19856,28.21672,0.04111909
682,119.35684,27.440378,0.02695976
683,120.20722,27.500359,0.017427845
684,120.65561,26.293554,0.040093604
685,119.88475,27.941713,0.02234065
686,119.174194,28.37185,0.022573108
687,120.970375,26.614683,0.020656291
688,118.62567,26.915333,0.02333099
689,120.97918,26.520626,0.022008127
690,146.70143,31.719578,0.022297524
691,146.99144,32.991547,0.022236403
692,149.48285,33.180344,0.03710994
693,149.41338,32.6779,0.05007618
694,147.23785,33.04327,0.022362228
695,146.91457,33.124405,0.13385747
696,149.7813,32.519882,0.021743381
697,147.58896,31.487946,0.0024101725
698,147.86717,32.943657,0.0051214937
699,148.73738,32.981644,0.09679742
700,148.28593,31.438305,0.021740269
701,148.04613,33.450993,0.027253702
702,148.0737,33.063725,0.027259817
703,147.14825,33.42162,0.005107598
704,147.53902,33.569347,0.02727662
705,148.63673,31.606731,0.021769611
706,149.71387,32.073063,0.026898686
707,39.63722,-0.86746615,0.039447688
708,40.30402,-0.87703,0.038229585
709,41.068295,0.34159926,0.021867227
710,39.53601,-0.64230627,0.04040166
711,41.44833,-0.24091533,0.023586366
712,41.006226,0.17629722,0.022903392
713,40.4853,-1.1993768,0.044017054
714,39.617058,-1.0467579,0.037469786
715,39.46139,0.5746414,0.06332027
716,41.15292,0.14210513,0.02857445
717,39.295433,0.01219312,0.04835846
718,41.09665,-0.17854775,0.13388689
719,39.605507,-0.18840466,0.026901225
720,39.714184,0.508703,0.04741812
721,41.30739,-0.7461381,0.05422977
722,38.936317,-0.18818702,0.072314695
723,40.560085,0.8778074,0.022570815
724,45.43511,-0.59263,0.031726893
725,43.790485,-0.17786111,0.028463874
726,45.698402,0.96483564,0.03989704
727,43.56065,1.0291227,0.06783074
728,45.59816,0.97929394,0.028614048
729,43.134327,-0.04781876,0.07215364
730,44.84668,-1.1666856,0.028538147
731,44.73565,-0.7661141,0.04377384
732,43.65829,0.93943524,0.06714175
733,44.625465,0.7942347,0.04322415
734,45.156265,-1.1262505,0.029563693
735,43.11891,-0.32886,0.04386471
736,44.16959,-0.24566332,0.029297216
737,44.34947,-0.30940866,0.029401077
738,44.623672,0.846092,0.042757694
739,43.22727,-0.40108156,0.04346198
740,45.960247,-0.20445652,0.027831601
741,53.171463,-1.1836258,0.030773614
742,53.780106,-0.877233,0.037219025
743,53.170338,0.24573894,0.024259545
744,53.56491,-1.1822912,0.14024027
745,53.023304,0.4793904,0.022411497
746,53.726734,-0.78892225,0.023588592
747,52.778927,-0.9159738,0.022286188
748,54.032425,-0.5964387,0.023725694
749,54.095963,-0.8826649,0.023787713
750,54.602287,-0.01858184,0.047977168
751,53.814114,-1.2286092,0.03740305
752,52.62137,0.7520677,0.030814359
753,52.0505,0.124749266,0.13988605
754,53.461555,-1.0083822,0.026260886
755,52.65084,-0.5487665,0.1489362
756,53.686516,-1.2457838,0.021207705
